speciesKey,authorship,basionym,basionymKey,canonicalName,class,classKey,constituentKey,datasetKey,family,familyKey,genus,genusKey,issues,key,kingdom,kingdomKey,lastCrawled,lastInterpreted,nameKey,nameType,nomenclaturalStatus,nubKey,numDescendants,order,orderKey,origin,parent,parentKey,phylum,phylumKey,publishedIn,rank,remarks,scientificName,sourceTaxonKey,species,taxonID,taxonomicStatus,vernacularName,vietnameseName
3874179,(L.) Druce,Rhizophora candel L.,3874018,Kandelia candel,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Rhizophoraceae,6671,Kandelia,6370895,[],3874179,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:04:23.732+00:00,5848298,SCIENTIFIC,[],3874179,4,Malpighiales,1414,SOURCE,Kandelia,6370895,Tracheophyta,7707728,Druce. (1913). In: Rep. Bot. Exch. Cl. Brit. Isles 3: 420 (1914).,SPECIES,,Kandelia candel (L.) Druce,,Kandelia candel,gbif:3874179,ACCEPTED,,"Trang đước, Vẹt đìa"
2668059,(Doty) Doty ex P.C.Silva,Eucheuma alvarezii Doty,2668060,Kappaphycus alvarezii,Florideophyceae,342,aacd816d-662c-49d2-ad1a-97e66e2a2908,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Solieriaceae,3234991,Kappaphycus,2668048,[],2668059,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:49.513+00:00,5850332,SCIENTIFIC,[],2668059,4,Gigartinales,1400,SOURCE,Kappaphycus,2668048,Rhodophyta,106,,SPECIES,,Kappaphycus alvarezii (Doty) Doty ex P.C.Silva,117176313,Kappaphycus alvarezii,gbif:2668059,ACCEPTED,Red algae,Rong sụn
2685721,(Bertrand) Beissn.,Pseudotsuga davidiana Bertrand,2685737,Keteleeria davidiana,Pinopsida,194,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Pinaceae,3925,Keteleeria,2685699,[],2685721,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:30.475+00:00,5865589,SCIENTIFIC,[],2685721,5,Pinales,640,SOURCE,Keteleeria,2685699,Tracheophyta,7707728,"Farjon, A. In: A Handbook of the World’s Conifers. Vol. 1 & 2. E. J. Brill, Leiden & Boston. 1112 pp. (2010).",SPECIES,,Keteleeria davidiana (Bertrand) Beissn.,,Keteleeria davidiana,gbif:2685721,ACCEPTED,,Du sam đá vôi
2685711,Mast.,,,Keteleeria evelyniana,Pinopsida,194,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Pinaceae,3925,Keteleeria,2685699,[],2685711,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:30.533+00:00,5865778,SCIENTIFIC,[],2685711,2,Pinales,640,SOURCE,Keteleeria,2685699,Tracheophyta,7707728,"Farjon, A. In: A Handbook of the World’s Conifers. Vol. 1 & 2. E. J. Brill, Leiden & Boston. 1112 pp. (2010).",SPECIES,,Keteleeria evelyniana Mast.,,Keteleeria evelyniana,gbif:2685711,ACCEPTED,Evelyn keteleeria,"Tô hợp, Tô hạp, Du sam, Thông dầu"
3619255,(Ridl.) Woodson,Trachelospermum laurifolium Ridl.,3618521,Kibatalia laurifolia,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Apocynaceae,6701,Kibatalia,7317091,[],3619255,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:14:13.712+00:00,5868828,SCIENTIFIC,[],3619255,0,Gentianales,412,SOURCE,Kibatalia,7317091,Tracheophyta,7707728,Woodson. (1936). In: Sunyatsenia 3: 102.,SPECIES,,Kibatalia laurifolia (Ridl.) Woodson,,Kibatalia laurifolia,gbif:3619255,ACCEPTED,,Thần linh lá quế
3619217,(Pierre ex Hua) Woodson,Paravallaris macrophylla Pierre ex Hua,3620855,Kibatalia macrophylla,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Apocynaceae,6701,Kibatalia,7317091,[],3619217,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:14:13.663+00:00,5868864,SCIENTIFIC,[],3619217,0,Gentianales,412,SOURCE,Kibatalia,7317091,Tracheophyta,7707728,Woodson. (1936). In: Philipp. J. Sci. 60: 214.,SPECIES,,Kibatalia macrophylla (Pierre ex Hua) Woodson,,Kibatalia macrophylla,gbif:3619217,ACCEPTED,,"Ớt làn lá to, Hạnh phúc, Đuôi dơi, Mức trâu, Dùi đôi"
3172561,(Lam.) Benth.,Bignonia africana Lam.,4091005,Kigelia africana,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Bignoniaceae,6655,Kigelia,3172560,[],3172561,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:02:55.047+00:00,5869767,SCIENTIFIC,[],3172561,3,Lamiales,408,SOURCE,Kigelia,3172560,Tracheophyta,7707728,"W.J.Hooker, Niger Fl.: 463 (1849)",SPECIES,,Kigelia africana (Lam.) Benth.,,Kigelia africana,gbif:3172561,ACCEPTED,Sausage Tree,"Bí đặc, Đồi, Xúc xích"
3894764,Hemsl.,,,Teucrium ornatum,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Lamiaceae,2497,Teucrium,2926895,[],3894764,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:03:29.082+00:00,11142134,SCIENTIFIC,[],3894764,2,Lamiales,408,SOURCE,Teucrium,2926895,Tracheophyta,7707728,"J. Linn. Soc., Bot. 26: 313 (1890)",SPECIES,,Teucrium ornatum Hemsl.,,Teucrium ornatum,gbif:3894764,ACCEPTED,,"Hoa ki nô, Hồng hùng"
5310858,Rchb.f.,,,Phalaenopsis deliciosa,Liliopsida,196,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Orchidaceae,7689,Phalaenopsis,2804680,[],5310858,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:17:10.297+00:00,8513596,SCIENTIFIC,[],5310858,6,Asparagales,1169,SOURCE,Phalaenopsis,2804680,Tracheophyta,7707728,Bonplandia (Hannover) 2: 93 (1854),SPECIES,,Phalaenopsis deliciosa Rchb.f.,,Phalaenopsis deliciosa,gbif:5310858,ACCEPTED,,
3152102,L.,,,Kleinhovia hospita,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Malvaceae,6685,Kleinhovia,3152101,[],3152102,Plantae,6,2023-08-22T23:20:59.545+00:00,2023-08-22T23:13:43.131+00:00,5882545,SCIENTIFIC,[],3152102,0,Malvales,941,SOURCE,Kleinhovia,3152101,Tracheophyta,7707728,L. (1763). In: Sp. Pl. (Ed. 2) 2: 1365-1366.,SPECIES,,Kleinhovia hospita L.,,Kleinhovia hospita,gbif:3152102,ACCEPTED,Guest Tree,"Tra đỏ, Cây trạc"
